# ANSI code	Foreground	Background
0	#242424	#000000
1	#B42419	#850002
2	#2FB41D	#149902
3	#9FA01C	#878A04
4	#400BD9	#0000A3
5	#C814C9	#A100A3
6	#2EAEBB	#1396A3
7	#C0C0C0	#B2B2B2
8	#6F6F6F	#535353
9	#FC2118	#DC0005
10	#2FE71A	#1CD604
11	#E8EB14	#E0E409
12	#4A00FF	#0000FF
13	#FB00FF	#DC00DF
14	#2CEEEB	#1DE2DF
15	#E6E5E5	#DFDFDF
16	#242424	#000000
17	#31177D	#00004C
18	#3913A8	#000074
19	#3F0CD5	#00009F
20	#4500FF	#0000CD
21	#4A00FF	#0000FF
22	#29701D	#0A4F01
23	#286D6C	#0A4D4C
24	#2C6A98	#094C74
25	#3166C6	#09499F
26	#3661F7	#0746CD
27	#3C5FFF	#0441FF
28	#2D961E	#107702
29	#2B9465	#0F764C
30	#2C9290	#0F7574
31	#2E8FBE	#0E749F
32	#318BEE	#0E71CD
33	#3589FF	#0D6EFF
34	#2FBD1D	#16A403
35	#2DBB5F	#15A34D
36	#2DBA88	#15A274
37	#2DB8B5	#15A19F
38	#2FB5E5	#149FCD
39	#31B3FF	#139DFF
40	#2FE61A	#1CD404
41	#2EE559	#1CD34D
42	#2DE381	#1BD274
43	#2DE2AE	#1BD19F
44	#2DE0DD	#1BD0CE
45	#2DDDFF	#1ACEFF
46	#2CFF14	#23FF06
47	#2CFF53	#22FF4D
48	#2BFF7B	#22FF74
49	#2AFFA6	#22FF9F
50	#2AFFD5	#21FFCE
51	#29FFFF	#21FFFF
52	#79221D	#4B0001
53	#751E74	#4B004C
54	#741AA0	#4B0074
55	#7413CF	#4B009F
56	#7500FF	#4B00CD
57	#7606FF	#4B00FF
58	#6C6C1D	#4D4E02
59	#696969	#4C4C4C
60	#696795	#4C4B74
61	#6A64C3	#4C489F
62	#6B5FF4	#4C45CD
63	#6C5DFF	#4C40FF
64	#67921D	#4E7702
65	#659163	#4E764D
66	#658F8E	#4E7574
67	#658CBC	#4E739F
68	#6589EC	#4D71CD
69	#6687FF	#4D6EFF
70	#63BA1C	#50A404
71	#62B95E	#50A34D
72	#61B887	#50A274
73	#61B6B4	#4FA19F
74	#61B3E4	#4F9FCE
75	#62B1FF	#4F9DFF
76	#60E419	#52D305
77	#5FE358	#52D34D
78	#5FE280	#52D274
79	#5EE0AD	#52D19F
